CaseID,Description,Resource Allocation Strategy,Throughput Maximization Outcome,Load Balancing Outcome,Optimization Label,idx
00074,High-rise residential area with consistent peak times.,Emergency-Priority Allocation,Medium,Balanced,TopographicalChallengesOptimization,
00075,Healthcare facility with critical patient monitoring systems.,Priority-based Allocation with Traffic Flow Optimization,Low,Unbalanced,StaticSpectrumOptimization,
00076,Waterfront area with tourist attractions and commercial activities.,Priority-based Allocation with Real-time Traffic Analysis,Low,Unbalanced,FlexibleResourceOptimization,
00077,High-density event area with sporadic usage.,Minimal Bandwidth Allocation,Medium,Unbalanced,EssentialServicesOptimization,
00078,Financial district with high-frequency trading activities.,Green Space Optimization,High,Balanced,InfrastructureDevelopmentOptimization,
00079,Public transport hub with high and variable usage.,Priority-based Allocation with Traffic Flow Optimization,High,Unbalanced,RuralOptimization,
00080,Rural area with sporadic connectivity due to natural barriers.,Multi-layered Allocation,Very High,Unbalanced,UrbanHighRiseOptimization,
00081,High-rise urban complex with dense usage and multiple demand areas.,Geographical Mapping,High,Unbalanced,DynamicSpectrumOptimization,
00082,High-rise residential area with consistent peak times.,Priority-based Allocation with Crowd-sourced Demand Forecasting,High,Balanced,EventSchedulingOptimization,
00083,Suburban area with consistent low usage except for weekends.,Dynamic Bandwidth Allocation,Medium,Balanced,ServicePriorityOptimization,
00084,Small town with seasonal tourist traffic.,Mobility Optimization,High,Balanced,TimeSchedulingOptimization,
00085,Waterfront area with tourist attractions and commercial activities.,E-commerce-Dynamic Allocation,Medium,Unbalanced,TimeSchedulingOptimization,
00086,Financial district with consistent high traffic during work hours.,Priority-based Allocation,High,Balanced,TourismOptimization,
00087,Financial district with high-frequency trading activities.,Event-based Dynamic Allocation,Medium,Balanced,RuralOptimization,
00088,Industrial district with multiple high-bandwidth applications.,Priority-based Allocation,Very High,Balanced,SeasonalTouristOptimization,
00089,A smart city with integrated IoT and connected vehicles.,Static Spectrum Allocation,Medium,Unbalanced,FlexibleResourceOptimization,
00090,Residential area with smart homes and real-time entertainment streaming.,Adaptive Resource Allocation,High,Balanced,RuralOptimization,
00091,Smart city infrastructure with IoT sensors.,Adaptive Resource Allocation,Medium,Balanced,SeasonalTouristOptimization,
00092,Suburban area with consistent low usage except for weekends.,Fixed Bandwidth Allocation,High,Balanced,DynamicSpectrumOptimization,
00093,Financial district with consistent high traffic during work hours.,Event-based Allocation,Medium,Balanced,DynamicSpectrumOptimization,
00094,Transportation hub with multiple connectivity demands from vehicles and pedestrians.,Transit-Priority Allocation,Very High,Unbalanced,TourismOptimization,
00095,Historic city center with narrow streets and older buildings.,Flexible Allocation,Very High,Unbalanced,EssentialServicesOptimization,
00096,Entertainment district with high-density event spaces.,SmartCity-Priority Allocation,Medium,Unbalanced,MixedUseOptimization,
00097,Public transportation hub with predictable usage spikes.,MixedUseOptimization,Low,Unbalanced,ServicePriorityOptimization,
00098,Transportation hub with multiple connectivity demands from vehicles and pedestrians.,Priority-based Allocation with Machine Learning Prediction,Very High,Balanced,RuralOptimization,
00099,Tourist attraction area during peak season with an influx of visitors.,Priority-based Allocation with Crowd-sourced Demand Forecasting,High,Unbalanced,ServicePriorityOptimization,
00100,High-rise residential area with consistent peak times.,Priority-based Allocation with Machine Learning Prediction,Low,Unbalanced,TrafficAwareOptimization,
00101,Transportation hub with multiple connectivity demands from vehicles and pedestrians.,Tourism-Centric Allocation,Low,Unbalanced,MixedUseOptimization,
00102,Healthcare facility with non-stop 24/7 demand.,SmartCity-Priority Allocation,High,Balanced,ServicePriorityOptimization,
00103,Transportation hub with multiple connectivity demands from vehicles and pedestrians.,Priority-based Allocation with Machine Learning Prediction,Low,Balanced,GeographicalMappingOptimization,
00104,Educational campus with uniform demand across classrooms and study areas.,Priority-based Allocation,Low,Balanced,PredictiveOptimization,
00105,A downtown area with high-rise buildings causing signal reflection.,Priority-based Allocation with Crowd-sourced Demand Forecasting,High,Balanced,AgriculturalAreaOptimization,
00106,Historical city center with cultural significance and seasonal tourism spikes.,Temporal Dynamic Allocation,Medium,Unbalanced,IndustryPriorityOptimization,
00107,High-density event area with sporadic usage.,Segmented Resource Allocation,Very High,Balanced,IndustryPriorityOptimization,
00108,Low-population rural area with essential services.,Priority-based Allocation with Real-time Traffic Analysis,Medium,Unbalanced,EventSchedulingOptimization,
00109,Commercial area with consistent traffic throughout the day.,Dynamic Bandwidth Allocation,High,Balanced,IndustryPriorityOptimization,
00110,Public transport hub with high and variable usage.,Adaptive Resource Allocation with Predictive Analytics,High,Unbalanced,SeasonalTouristOptimization,
00111,Tourist destination with seasonal usage peaks.,Dynamic Spectrum Allocation,High,Unbalanced,EssentialServicesOptimization,
00112,Mixed residential and commercial zone with scheduled business hours.,School-Centric Allocation,Very High,Unbalanced,RuralTelehealthOptimization,
00113,Residential area with sporadic high demand during weekends.,Priority-based Allocation with Sensor Data Analysis,Medium,Balanced,RuralOptimization,
00114,Low-population rural area with essential services.,Low Priority Allocation,High,Balanced,EssentialServicesOptimization,
00115,Sports stadium during peak events.,Emergency-Priority Allocation,Very High,Balanced,GreenSpaceOptimization,
00116,Mixed-use area with varying high-demand sectors.,Emergency-Priority Allocation,Very High,Balanced,EducationFacilitationOptimization,
00117,Sports stadium during peak events.,Area Expansion Strategy,Low,Unbalanced,EssentialServicesOptimization,
00118,Urban area with high user density and varied usage patterns.,Flexible Allocation,Low,Balanced,GreenSpaceOptimization,
00119,A downtown area with high-rise buildings causing signal reflection.,Event-based Dynamic Allocation,High,Unbalanced,CoastalTourismOptimization,
00120,Suburban neighborhood with occasional high usage for sports events and community gatherings.,Community-Centric Allocation,Very High,Unbalanced,TopographicalChallengesOptimization,
00121,Cultural center with recurring events and peak audience attendance.,Static Spectrum Allocation,Very High,Unbalanced,CommunityCentricOptimization,
00122,A city with frequent public events leading to variable network demand.,Area Expansion Strategy,Low,Unbalanced,TopographicalChallengesOptimization,
00123,Urban center with consistent traffic patterns.,Dynamic Spectrum Allocation,Low,Balanced,TopographicalChallengesOptimization,
00124,A downtown area with high-rise buildings causing signal reflection.,Mobility Optimization,High,Balanced,TrafficAwareOptimization,
00125,Historic city center with narrow streets and older buildings.,Healthcare-Priority Allocation,Low,Balanced,EssentialServicesOptimization,
00126,Low-population rural area with essential services.,Time-based Allocation,High,Unbalanced,CoastalTourismOptimization,
00127,A university campus with diverse connectivity needs for classrooms and dormitories.,Temporal Dynamic Allocation,High,Unbalanced,SeasonalTouristOptimization,
00128,Area with high-density retail zones and adjacent entertainment venues.,SmartCity-Priority Allocation,Medium,Balanced,RealTimeOptimization,
00129,A major hospital with critical telemedicine applications.,Geographical Mapping,Low,Unbalanced,SeasonalTouristOptimization,
00130,Critical infrastructure network during a natural disaster.,Priority-based Allocation with Traffic Flow Optimization,High,Unbalanced,MixedUseOptimization,
00131,Low-population rural area with essential services.,Time-based Allocation,Medium,Unbalanced,IndustryPriorityOptimization,
00132,Sports complex with events scheduled during weekends.,Priority-based Allocation with Sensor Data Analysis,Medium,Unbalanced,EssentialServicesOptimization,
00133,Region with rural educational institutions.,Dynamic Spectrum Allocation with Emergency Priority,Medium,Balanced,StaticSpectrumOptimization,
00134,Hospital with critical health monitoring devices.,Minimal Bandwidth Allocation,Low,Balanced,RuralTelehealthOptimization,
00135,High-rise urban complex with dense usage and multiple demand areas.,Traffic-aware Allocation,Medium,Unbalanced,RuralOptimization,
00136,Cultural center with recurring events and peak audience attendance.,Time-based Allocation,Medium,Unbalanced,SeasonalTouristOptimization,
00137,Suburban area with a mix of residential homes and small businesses.,Priority-based Allocation with Crowd-sourced Demand Forecasting,High,Unbalanced,EssentialServicesOptimization,
00138,Waterfront area with tourist activities and a large marina.,Airport-Priority Allocation,Medium,Unbalanced,IndustryPriorityOptimization,
00139,High-rise residential area with consistent peak times.,Fixed Bandwidth Allocation,Low,Balanced,RuralTelehealthOptimization,
00140,Mixed-use area with varying high-demand sectors.,School-Centric Allocation,Low,Balanced,GeographicalMappingOptimization,
00141,Suburban neighborhood with occasional high usage for sports events and community gatherings.,Dynamic Spectrum Allocation with Emergency Priority,Medium,Unbalanced,EventDrivenOptimization,
00142,Shopping mall with multiple retailers and high foot traffic.,Military-Priority Allocation,Very High,Balanced,TopographicalChallengesOptimization,
00143,Sports stadium during peak events.,Traffic-aware Allocation,Very High,Unbalanced,SeasonalTouristOptimization,
00144,Coastal region with tourist-based economy.,Priority-based Allocation,High,Unbalanced,IndustryPriorityOptimization,
00145,Areas close to airports with significant data transmission requirements for both commercial and personal use.,Mobility Optimization,High,Unbalanced,EducationFacilitationOptimization,
00146,Rural area with growing telehealth services demand.,Priority Allocation for Industry,Low,Unbalanced,MixedUseOptimization,
00147,Industrial zone with regular heavy usage in mornings.,Healthcare-Priority Allocation,Low,Balanced,RuralOptimization,
00148,"Mixed-use urban zone combining residential, commercial, and entertainment spaces.",Static Spectrum Allocation,Medium,Balanced,IndustryPriorityOptimization,
00149,Historic city center with narrow streets and older buildings.,Priority-based Allocation with Sensor Data Analysis,Very High,Unbalanced,DynamicSpectrumOptimization,
00150,Campus area with fluctuating usage between classes.,Transit-Priority Allocation,Low,Unbalanced,RuralTelehealthOptimization,
00151,Urban area with a central park and surrounding office and residential buildings.,Minimum Requirement Allocation,Low,Unbalanced,InfrastructureDevelopmentOptimization,
00152,Historical city center with cultural significance and seasonal tourism spikes.,Geographical Mapping,High,Balanced,EventDrivenOptimization,
00153,Hospital with critical health monitoring devices.,Minimal Bandwidth Allocation,High,Balanced,GeographicalMappingOptimization,
00154,Small town with low population but hosting a major sports event.,Priority-based Allocation,High,Balanced,DynamicBandwidthOptimization,
00155,Area with high-density retail zones and adjacent entertainment venues.,Fixed Bandwidth Allocation,Low,Unbalanced,MixedUseOptimization,
00156,Residential area with smart homes and real-time entertainment streaming.,Green Space Optimization,High,Unbalanced,TrafficAwareOptimization,
00157,Areas close to airports with significant data transmission requirements for both commercial and personal use.,Event-based Dynamic Allocation,Medium,Balanced,StaticSpectrumOptimization,
00158,Commercial area with consistent traffic throughout the day.,Low Priority Allocation,Medium,Balanced,AgriculturalAreaOptimization,
00159,Campus area with fluctuating usage between classes.,Temporal Dynamic Allocation,High,Balanced,EducationFacilitationOptimization,
00160,Hilly terrain with challenging topography.,School-Centric Allocation,Medium,Balanced,SegmentedSectorOptimization,
00161,A smart city with integrated IoT and connected vehicles.,Priority-based Allocation with Machine Learning Prediction,High,Unbalanced,EventDrivenOptimization,
00162,Small town with low population but hosting a major sports event.,Mobility Optimization,Low,Unbalanced,DynamicBandwidthOptimization,
00163,Urban area with high user density and varied usage patterns.,Minimum Requirement Allocation,High,Unbalanced,TrafficAwareOptimization,
00164,Region with rural educational institutions.,Priority-based Real-time Allocation,Very High,Unbalanced,MixedUseOptimization,
00165,Waterfront area with tourist activities and a large marina.,Event-based Allocation,Medium,Unbalanced,TrafficAwareOptimization,
00166,Airport with frequent high-demand communication periods.,Priority-based Allocation with Crowd-sourced Demand Forecasting,Medium,Balanced,EventSchedulingOptimization,
00167,"City center with a mix of retail, office spaces, and entertainment venues with peak usage times.",Minimal Bandwidth Allocation,Very High,Balanced,UrbanHighRiseOptimization,
00168,Industrial area with critical real-time monitoring needs.,Fixed Bandwidth Allocation,High,Unbalanced,DynamicSpectrumOptimization,
00169,Off-peak residential area with minimal usage.,Adaptive Resource Allocation,Low,Balanced,EventSchedulingOptimization,
00170,Industrial area with critical real-time monitoring needs.,SmartCity-Priority Allocation,High,Unbalanced,RuralOptimization,
00171,Disaster-affected area with emergency communication needs.,Time-based Allocation,Low,Balanced,TourismOptimization,
00172,"Suburban area with moderate usage, peak during evenings.",Dynamic Spectrum Allocation with User Preference Learning,Low,Balanced,UrbanHighRiseOptimization,
00173,Residential area with smart homes and real-time entertainment streaming.,MixedUseOptimization,Medium,Unbalanced,ServicePriorityOptimization,
00174,Military base with constant and critical communication.,Event-driven Allocation,High,Balanced,CommunityCentricOptimization,
00175,A major hospital with critical telemedicine applications.,Priority-based Allocation with Real-time Traffic Analysis,Medium,Balanced,RealTimeOptimization,
00176,Waterfront area with tourist activities and a large marina.,Military-Priority Allocation,Very High,Unbalanced,GreenSpaceOptimization,
00177,Residential area with sporadic high demand during weekends.,Time-based Allocation,High,Unbalanced,GreenSpaceOptimization,
00178,Rural area with low density and low usage.,Priority-based Allocation,Very High,Balanced,InfrastructureDevelopmentOptimization,
00179,Remote agricultural area with low population.,Time-based Allocation,Medium,Balanced,EventSchedulingOptimization,
00180,Industrial district with multiple high-bandwidth applications.,Priority-based Allocation with Crowd-sourced Demand Forecasting,High,Balanced,InfrastructureDevelopmentOptimization,
00181,Public transportation hub with predictable usage spikes.,Static Spectrum Allocation,Medium,Unbalanced,SeasonalTouristOptimization,
00182,Isolated village with a small local community.,Dynamic Spectrum Allocation with Emergency Priority,High,Balanced,DynamicSpectrumOptimization,
00183,High-density event area with sporadic usage.,MixedUseOptimization,Very High,Balanced,EventSchedulingOptimization,
00184,City center with high-rise buildings causing signal reflections.,School-Centric Allocation,Very High,Unbalanced,DynamicSpectrumOptimization,
00185,Entertainment district with high-density event spaces.,Priority-based Allocation with Crowd-sourced Demand Forecasting,Very High,Unbalanced,EssentialServicesOptimization,
00186,Downtown commercial district with high foot traffic and diverse service requirements.,Community-Centric Allocation,High,Unbalanced,InfrastructureDevelopmentOptimization,
00187,Regional center with sparse connectivity infrastructure.,Priority-based Allocation,Very High,Unbalanced,PredictiveOptimization,
00188,Airport with frequent high-demand communication periods.,Priority-based Allocation with Real-time Traffic Analysis,Low,Balanced,GeographicalMappingOptimization,
00189,Commercial district with high-rise office buildings and retail spaces.,E-commerce-Dynamic Allocation,High,Balanced,TopographicalChallengesOptimization,
00190,Educational campus with uniform demand across classrooms and study areas.,Flexible Allocation,Low,Balanced,UrbanHighRiseOptimization,
00191,Industrial district with multiple high-bandwidth applications.,Area Expansion Strategy,High,Balanced,EducationFacilitationOptimization,
00192,Urban area with a central park and surrounding office and residential buildings.,Community-Centric Allocation,Low,Unbalanced,IndustryPriorityOptimization,
00193,Industrial district with multiple high-bandwidth applications.,Dynamic Spectrum Allocation with User Preference Learning,Low,Balanced,FlexibleResourceOptimization,
00194,A financial district with numerous high-speed data requirements.,Temporal Dynamic Allocation,High,Unbalanced,UrbanHighRiseOptimization,
00195,Factory floor with automated machinery and real-time communication needs.,Priority-based Allocation,Low,Balanced,CoastalTourismOptimization,
00196,Urban area with high user density and varied usage patterns.,Fixed Bandwidth Allocation,Very High,Unbalanced,TimeSchedulingOptimization,
00197,A stadium with varying crowd density during events.,Priority-based Allocation,Medium,Unbalanced,AgriculturalAreaOptimization,
00198,Residential area with sports facilities and local government buildings.,Priority-based Allocation with Machine Learning Prediction,Low,Unbalanced,TimeSchedulingOptimization,
00199,Urban area with a central park and surrounding office and residential buildings.,E-commerce-Dynamic Allocation,Low,Unbalanced,RuralTelehealthOptimization,
00200,High-rise urban complex with dense usage and multiple demand areas.,Geographical Mapping,Medium,Unbalanced,DynamicSpectrumOptimization,
00201,Urban area with high user density and varied usage patterns.,Priority-based Real-time Allocation,Low,Unbalanced,RuralOptimization,
00202,Industrial zone with numerous sensors and real-time control systems.,Dynamic Bandwidth Allocation,High,Balanced,IndustryPriorityOptimization,
00203,Small town with low population but hosting a major sports event.,Priority-based Allocation with Sensor Data Analysis,Medium,Unbalanced,RuralTelehealthOptimization,
00204,"Suburban area with moderate usage, peak during evenings.",Emergency-Priority Allocation,Low,Balanced,GreenSpaceOptimization,
00205,Urban center with consistent traffic patterns.,Dynamic Spectrum Allocation,Very High,Balanced,SeasonalTouristOptimization,
00206,Historic city center with narrow streets and older buildings.,School-Centric Allocation,High,Unbalanced,CommunityCentricOptimization,
00207,Campus area with fluctuating usage between classes.,Military-Priority Allocation,Medium,Balanced,GeographicalMappingOptimization,
00208,"Dense urban area with a mix of commercial, residential, and government buildings.",Event-driven Allocation,Very High,Unbalanced,FlexibleResourceOptimization,
00209,A downtown area with high-rise buildings causing signal reflection.,Time-based Allocation,Very High,Unbalanced,SegmentedSectorOptimization,
00210,Industrial area with critical real-time monitoring needs.,Priority-based Allocation with Real-time Traffic Analysis,Low,Balanced,GreenSpaceOptimization,
00211,Financial district with numerous high-value transactions.,Minimal Bandwidth Allocation,High,Balanced,TourismOptimization,
00212,Campus area with fluctuating usage between classes.,Low Priority Allocation,High,Balanced,UrbanHighRiseOptimization,
00213,Low-population rural area with essential services.,Priority-based Real-time Allocation,High,Balanced,CoastalTourismOptimization,
00214,Rural area with sporadic connectivity due to natural barriers.,Priority-based Real-time Allocation,Medium,Balanced,GeographicalMappingOptimization,
00215,"Mixed-use urban zone combining residential, commercial, and entertainment spaces.",Minimum Requirement Allocation,Very High,Unbalanced,StaticSpectrumOptimization,
00216,Hilly terrain with challenging topography.,Healthcare-Priority Allocation,Very High,Balanced,GreenSpaceOptimization,
00217,Educational institution with high evening usage due to student activities.,Event-based Allocation,High,Balanced,RuralOptimization,
00218,Commercial area with steady demand throughout the day.,Minimum Requirement Allocation,Low,Balanced,CommunityCentricOptimization,
00219,A financial district with numerous high-speed data requirements.,Dynamic Bandwidth Allocation,Medium,Unbalanced,SeasonalTouristOptimization,
00220,Disaster-affected area with emergency communication needs.,Event-based Allocation,Very High,Unbalanced,GeographicalMappingOptimization,
00221,Residential area with sports facilities and local government buildings.,Fixed Bandwidth Allocation,Very High,Balanced,CoastalTourismOptimization,
00222,Financial district with high-frequency trading activities.,Priority-based Real-time Allocation,Very High,Unbalanced,EducationFacilitationOptimization,
00223,Downtown area with constant heavy traffic and mixed commercial and residential use.,Priority-based Allocation with Crowd-sourced Demand Forecasting,Medium,Balanced,RuralTelehealthOptimization,
00224,Educational campus with uniform demand across classrooms and study areas.,Dynamic Spectrum Allocation with User Preference Learning,High,Balanced,SegmentedSectorOptimization,
00225,Urban area with high user density and varied usage patterns.,Dynamic Bandwidth Allocation,High,Balanced,TopographicalChallengesOptimization,
00226,Shopping mall with multiple retailers and high foot traffic.,Priority-based Allocation with Sensor Data Analysis,Medium,Unbalanced,EssentialServicesOptimization,
00227,"Neighborhood with schools, clinics, and apartment buildings.",Traffic-aware Allocation,Very High,Unbalanced,GreenSpaceOptimization,
00228,Heavy industrial zone with critical IoT devices.,Segmented Resource Allocation,Very High,Unbalanced,SeasonalTouristOptimization,
00229,Rural area with low density and low usage.,Dynamic Spectrum Allocation with Emergency Priority,Low,Balanced,InfrastructureDevelopmentOptimization,
00230,Shopping mall with multiple retailers and high foot traffic.,Adaptive Resource Allocation,Very High,Unbalanced,UrbanHighRiseOptimization,
00231,Region with rural educational institutions.,Geographical Mapping,Low,Balanced,SegmentedSectorOptimization,
00232,Cultural center with recurring events and peak audience attendance.,Event-based Dynamic Allocation,High,Balanced,DynamicSpectrumOptimization,
00233,"Neighborhood with schools, clinics, and apartment buildings.",Area Expansion Strategy,High,Unbalanced,StaticSpectrumOptimization,
00234,Historical city center with cultural significance and seasonal tourism spikes.,E-commerce-Dynamic Allocation,Very High,Unbalanced,TopographicalChallengesOptimization,
